id,short_name,long_name,shape_id,route_id1,proof_of_payment,ft_mode,vehicle_name,,route_id
321,MK132,132 BURIEN-SEACBD NB,110321,1132,0,local_bus,local_bus1,,1_1132
324,MK132,132 HL CC-BUR-SEA SB,110324,1132,0,local_bus,local_bus1,,1_1132
357,MK162,162 KENT TC-SCBD NB*,110357,1162,0,local_bus,local_bus1,,1_1162
368,MK173,173 FEDWAY-BOEING N*,110368,1173,0,local_bus,local_bus1,,1_1173
374,MK175,175 W FED WY-SCBD N*,110374,1175,0,local_bus,local_bus1,,1_1175
388,MK190,190 STAR LK-SCBD NB*,110388,1190,0,local_bus,local_bus1,,1_1190
98,MK021,21 ARB HT-SCBD EX NB,110098,1021,0,local_bus,local_bus1,,1_1021
421,MK215,215 N Bend to Issaq*,110421,1215,0,local_bus,local_bus1,,1_1215
101,MK022,22 WHITE CTR-SCBD SB,110101,1022,0,local_bus,local_bus1,,1_1022
430,MK222,222 OVRL-EGT-BELV WB,110430,1222,0,local_bus,local_bus1,,1_1222
117,MK027,27 COLMAN PK-SCBD NB,110117,1027,0,local_bus,local_bus1,,1_1027
14,MK003,3 SEA CBD-MADRONA NB,110014,1003,0,local_bus,local_bus1,,1_1003
