id,short_name,long_name,shape_id,route_id1,proof_of_payment,ft_mode,vehicle_name,route_id
610,PT028,28 S 12TH ST,210610,2028,0,local_bus,llocal_bus1,2_2028
538,CT101,101 MAR PR-AUR VL,210538,3101,0,local_bus,llocal_bus1,2_3101
36,MK011,11 MADISN PK-SCBD,210036,1011,0,local_bus,llocal_bus1,2_1011
109,MK041,41 LKCTY-NGT-SCBD,210109,1041,0,local_bus,llocal_bus1,2_1041
269,MK181,181 FEDWAY-AUBURN,210269,1181,0,local_bus,llocal_bus1,2_1181
445,MK919,919DARTSE Auburn to*,210445,1919,0,local_bus,llocal_bus1,2_1919
514,CT130,130 LYN TC-AUR VL,210514,3130,0,local_bus,llocal_bus1,2_3130
472,ST535,535 BELV-LYNNWOOD,210472,6535,0,premium_bus,premium_bus1,2_6535
295,MK221,221 Ed Hill-Xroads *,210295,1221,0,local_bus,llocal_bus1,2_1221
95,MK036,36 RAINR BCH-SCBD,210095,1036,0,local_bus,llocal_bus1,2_1036
643,PT001,1 6TH AV-PACIF AV,210643,2001,0,local_bus,llocal_bus1,2_2001
661,WFVSW,WSF VASHN-STHWRTH,210661,5008,0,ferry,ferry1,2_5008
432,MK912,912 ENMCLW-CVNGTN,210432,1912,0,local_bus,llocal_bus1,2_1912
340,MK271,271 ISSQH-BELV-UW,210340,1271,0,local_bus,llocal_bus1,2_1271
217,MK131,131 HL CC-BUR-SEA,210217,1131,0,local_bus,llocal_bus1,2_1131
134,MK054,54 WHTCR-JCT-SCBD,210134,1054,0,local_bus,llocal_bus1,2_1054
188,MK106,106 RNTN-SKY-SCBD,210188,1106,0,local_bus,llocal_bus1,2_1106
206,MK121,121 BURIEN-SEACBD,210206,1121,0,local_bus,llocal_bus1,2_1121
18,MK005,5 SH CC-GRWD-SCBD,210018,1005,0,local_bus,llocal_bus1,2_1005
703,KT020,20 NAVY YARD CITY,210703,4020,0,local_bus,llocal_bus1,2_4020
284,MK206,206 NWPRT HS-NEWC N*,210284,1206,0,local_bus,llocal_bus1,2_1206
56,MK016,16 NGT-WLFRD-SCBD,210056,1016,0,local_bus,llocal_bus1,2_1016
743,KT008,8 TREMONT SB     ,210743,4008,0,local_bus,llocal_bus1,2_4008
177,MK075,75 BALLRD-NGAT-UW,210177,1075,0,local_bus,llocal_bus1,2_1075
586,PT413,413 Wildwood,210586,2413,0,local_bus,llocal_bus1,2_2413
143,MK060,60 WTCR-GTWN-BDWY,210143,1060,0,local_bus,llocal_bus1,2_1060
327,MK251,251 UW BTH-RD-KRK,210327,1251,0,local_bus,llocal_bus1,2_1251
680,ET003,3 W Casino Rd-EvrtS*,210680,7003,0,local_bus,llocal_bus1,2_7003
612,PT220,220 ORCHARD,210612,2220,0,local_bus,llocal_bus1,2_2220
163,MK073,73 JCPK-I5-SEA EX,210163,1073,0,premium_bus,premium_bus1,2_1073
572,PT501,501 MILTON-FED WY,210572,2501,0,local_bus,llocal_bus1,2_2501
317,MK240,240 BEL-NEWC-RENT,210317,1240,0,local_bus,llocal_bus1,2_1240
193,MK110,110 N RNTN-SW RNT SB,210193,1110,0,local_bus,llocal_bus1,2_1110
715,KT034,34 BANGOR SHUTTLE,210715,4034,0,premium_bus,premium_bus1,2_4034
460,MK952,MK952a,210460,1952,0,premium_bus,premium_bus1,2_1952
500,CT222,222 MRYSVL-TULALP,210500,3222,0,local_bus,llocal_bus1,2_3222
629,PT002,2 19TH-BRIDGEPORT,210629,2002,0,local_bus,llocal_bus1,2_2002
350,MK345,345 SHRL CC-NGATE,210350,1345,0,local_bus,llocal_bus1,2_1345
238,MK149,149 BLK DIA-RENTN,210238,1149,0,local_bus,llocal_bus1,2_1149
444,MK918,918 KENT-NO KENT NB,210444,1918,0,local_bus,llocal_bus1,2_1918
101,MK038,38 RNR-BC HL-SODO,210101,1038,0,local_bus,llocal_bus1,2_1038
729,KT043,43 VIKING AVE,210729,4043,0,local_bus,llocal_bus1,2_4043
13,MK003,3 N Q ANNE-MDRONA,210013,1003,0,local_bus,llocal_bus1,2_1003
229,MK134,134 BURIEN-SEACBD,210229,1134,0,local_bus,llocal_bus1,2_1134
382,ST545,545 RED-SCBD-HLGT,210382,6545,0,premium_bus,premium_bus1,2_6545
114,MK043,43 UW-CAP HL-SCBD,210114,1043,0,local_bus,llocal_bus1,2_1043
274,MK187,187 TWIN LK-FEDWY,210274,1187,0,local_bus,llocal_bus1,2_1187
647,RLLRL,LITE RL TCOMA CBD,210647,6010,0,light_rail,llight_rail1,2_6010
483,CT401,402 Lynwood-Seattle ,210483,3401,0,premium_bus,premium_bus1,2_3401
416,ST599,599 Lakewood-Tacoma*,210416,6599,0,premium_bus,premium_bus1,2_6599
519,CT120,120 LYN TC-UW BTH,210519,3120,0,local_bus,llocal_bus1,2_3120
253,MK164,164 GR RV CC-KENT,210253,1164,0,local_bus,llocal_bus1,2_1164
100,MK037,37 AL JCT-SCBD EX NB,210100,1037,0,premium_bus,premium_bus1,2_1037
222,MK131,131 HL CC-BUR-SEA,210222,1131,0,local_bus,llocal_bus1,2_1131
375,ST540,540 REDMOND-UW WB,210375,6540,0,premium_bus,premium_bus1,2_6540
297,MK222,222 OVRL-EGT-BELV,210297,1222,0,local_bus,llocal_bus1,2_1222
548,ST590,590 Tacoma-Seatt,210548,6590,0,premium_bus,premium_bus1,2_6590
399,ST554,554 ISSAQ-SEA CBD,210399,6554,0,premium_bus,premium_bus1,2_6554
574,PT501,501 MILTON-FED WY,210574,2501,0,local_bus,llocal_bus1,2_2501
64,MK021,21 ARBOR HTS-SCBD,210064,1021,0,local_bus,llocal_bus1,2_1021
502,CT221,221 QL CDA-LK STV,210502,3221,0,local_bus,llocal_bus1,2_3221
422,MK889,889 HOUGHTON-INTNL *,210422,1889,0,local_bus,llocal_bus1,2_1889
631,PT016,16 UPS-TCC,210631,2016,0,local_bus,llocal_bus1,2_2016
462,CT871,870 EDMONDS-UW SB,210462,3871,0,premium_bus,premium_bus1,2_3871
591,PT041,41 PORTLAND AVE,210591,2041,0,local_bus,llocal_bus1,2_2041
332,MK253,253 RED-OVRLK-BEL,210332,1253,0,local_bus,llocal_bus1,2_1253
208,MK121,121 BURIEN-SEACBD,210208,1121,0,local_bus,llocal_bus1,2_1121
760,MKFF1,EL BAY WATER TAXI EB,210760,5009,0,ferry,ferry1,2_5009
617,PT212,212 STEILACOOM-P,210617,2212,0,local_bus,llocal_bus1,2_2212
87,MK030,30 Sand Point to U *,210087,1030,0,local_bus,llocal_bus1,2_1030
168,MK073,73 JCPK-I5-SEA EX,210168,1073,0,premium_bus,premium_bus1,2_1073
198,MK118,118 TAHLQ-VSH HTS,210198,1118,0,local_bus,llocal_bus1,2_1118
324,MK249,249 BEL-OVRLK-RDM,210324,1249,0,local_bus,llocal_bus1,2_1249
694,ET014,14 Mall Circl,210694,7014,0,local_bus,llocal_bus1,2_7014
128,MK049,49 UW-BRDWAY-SCBD,210128,1049,0,local_bus,llocal_bus1,2_1049
116,MK043,43 UW-CAP HL-SCBD,210116,1043,0,local_bus,llocal_bus1,2_1043
54,MK015,15 CROWN HLL-SCBD,210054,1015,0,premium_bus,premium_bus1,2_1015
355,MK347,347 MTLK TER-NGTE,210355,1347,0,local_bus,llocal_bus1,2_1347
649,WFEDK,WSF EDMNDS-KNGSTN,210649,5001,0,ferry,ferry1,2_5001
734,KT012,12 SILVERDLE WEST,210734,4012,0,local_bus,llocal_bus1,2_4012
263,MK174,174 FDWY-STAC-SEA,210263,1174,0,local_bus,llocal_bus1,2_1174
471,ST535,BellevueTC-Lynwood,210471,6535,0,premium_bus,premium_bus1,2_6535
15,MK004,4 E Q AN-JUDKN PK,210015,1004,0,local_bus,llocal_bus1,2_1004
600,PT402,402 MERIDIAN,210600,2402,0,local_bus,llocal_bus1,2_2402
47,MK014,14 SUMMIT-MT BAKR,210047,1014,0,local_bus,llocal_bus1,2_1014
26,MK007,7 RAIN BCH-SEACBD,210026,1007,0,local_bus,llocal_bus1,2_1007
560,PT056,56 56TH ST,210560,2056,0,local_bus,llocal_bus1,2_2056
307,MK233,233 AVNDL-OVLK-BL,210307,1233,0,local_bus,llocal_bus1,2_1233
138,MK055,55 ADMRL-JCT-SCBD,210138,1055,0,local_bus,llocal_bus1,2_1055
528,CT113,113 LynwdTC-Mukilte*,210528,3113,0,local_bus,llocal_bus1,2_3113
448,MK921,921 BELV-SOMERSET,210448,1921,0,local_bus,llocal_bus1,2_1921
717,KTFF1,FT FER BREM-PT OR,210717,4501,0,ferry,ferry1,2_4501
5,MK002,2 W Q ANN-MADRONA,210005,1002,0,local_bus,llocal_bus1,2_1002
488,CT277,227 Boeing-EverettSt,210488,3277,0,premium_bus,premium_bus1,2_3277
484,CT280,227 Boeing-EverettSt,210484,3280,0,local_bus,llocal_bus1,2_3280
442,MK917,917 AUBR-ALGN-PAC,210442,1917,0,local_bus,llocal_bus1,2_1917
613,PT220,220 ORCHARD,210613,2220,0,local_bus,llocal_bus1,2_2220
227,MK132,132 HL CC-BUR-SEA,210227,1132,0,local_bus,llocal_bus1,2_1132
11,MK003,3 N Q ANNE-MDRONA,210011,1003,0,local_bus,llocal_bus1,2_1003
651,WFFSW,WSF FAUNTLR-SWRTH,210651,5003,0,ferry,ferry1,2_5003
380,ST545,545 RED-SCBD-HLGT,210380,6545,0,premium_bus,premium_bus1,2_6545
194,MK110,110 N RNTN-SW RNT SB,210194,1110,0,local_bus,llocal_bus1,2_1110
112,MK042,42 RAINER VW-SCBD,210112,1042,0,local_bus,llocal_bus1,2_1042
272,MK183,183 FEDRL WY-KENT,210272,1183,0,local_bus,llocal_bus1,2_1183
371,ST522,ST522d,210371,6522,0,premium_bus,premium_bus1,2_6522
410,ST566,566 ISSAQ-NGATE EX**,210410,6566,0,premium_bus,premium_bus1,2_6566
336,MK269,269 OVLK-SAHL-ISS NB,210336,1269,0,local_bus,llocal_bus1,2_1269
467,CT810,812 MarinerP&R-McCo*,210467,3810,0,premium_bus,premium_bus1,2_3810
261,MK169,169 KNT TC-RNT TC,210261,1169,0,local_bus,llocal_bus1,2_1169
733,KT012,12 SILVERDLE WEST,210733,4012,0,local_bus,llocal_bus1,2_4012
151,MK068,68 NORTHGATE-UW S,210151,1068,0,local_bus,llocal_bus1,2_1068
596,PT407,407 BON LK-PR RDG,210596,2407,0,local_bus,llocal_bus1,2_2407
33,MK010,10 CAP HILL-SCBD ,210033,1010,0,local_bus,llocal_bus1,2_1010
